ad_id,ad_type,real_estate_type,region,city,type,living_area,land_area,floor,building_year,price,seller
6771110,prodaja,stanovanje,ljubljana mesto,ljubljana,4-sobno,184.3,,2,1600,2100000.0,"stoja trade, d.o.o., ljubljana"
6758556,prodaja,stanovanje,ljubljana mesto,ljubljana,4-sobno,184.3,,2,1600,2100000.0,"nepremičninsko posredovanje, polona božič bižal s.p."
6787914,prodaja,stanovanje,ljubljana mesto,ljubljana,4-sobno,184.4,,,2007,1050000.0,cslo regionalna d.o.o.
6502349,prodaja,stanovanje,ljubljana mesto,ljubljana,5 in večsobno,190.0,,3/3,1910,700000.0,kreativdom d.o.o.
6820904,prodaja,stanovanje,ljubljana mesto,ljubljana,4-sobno,194.9,,1/1,1979,325000.0,baza agencija d.o.o.
6790353,prodaja,stanovanje,ljubljana mesto,ljubljana,5 in večsobno,195.5,,3/3,1880,798000.0,pak invest d.o.o.
6789701,prodaja,stanovanje,ljubljana mesto,ljubljana,5 in večsobno,195.5,,3/3,1880,798000.0,kreativdom d.o.o.
6774494,prodaja,hiša,koroska,prevalje,samostojna,173.8,625.0,p+1+m,1968,150000.0,"nepremičninska družba, d.o.o., pe re/max premium"
6602022,prodaja,hiša,koroska,prevalje,samostojna,200.0,1599.0,k+p+m,1900,160000.0,simobilia nepremičnine d.o.o.
6717053,prodaja,hiša,koroska,prevalje,samostojna,255.0,767.0,k+p+1,1959,144900.0,zasebna ponudba
6668713,prodaja,hiša,koroska,prevalje,samostojna,306.4,635.0,,1982,260000.0,"galadom cenitve nepremičnin, svetovanje, barbara gašper s.p"
6743720,prodaja,hiša,koroska,prevalje,drugo,326.0,743.0,p+1+m,1964,490000.0,"hestija best, borut ošlak s.p."
6786914,prodaja,hiša,koroska,prevalje,samostojna,90.0,130.0,p+1+m,1928,80000.0,zasebna ponudba
6680963,prodaja,hiša,koroska,ravne na koroškem,dvostanovanjska,111.0,,p+1,1965,149000.0,"hestija best, borut ošlak s.p."
6846782,prodaja,hiša,koroska,ravne na koroškem,dvostanovanjska,269.0,655.0,p+1+2,1980,269900.0,elektron nepremičnine vlasta jeromel s.p.
6513352,prodaja,hiša,koroska,ravne na koroškem,samostojna,320.0,50.0,p+1,1925,230000.0,simobilia nepremičnine d.o.o.
6705055,prodaja,hiša,koroska,ravne na koroškem,drugo,531.0,645.0,,1985,295000.0,elektron nepremičnine vlasta jeromel s.p.
6837761,prodaja,hiša,koroska,remšnik,samostojna,129.8,634.0,p+1,1987,144900.0,zasebna ponudba
6837305,prodaja,hiša,koroska,ribnica na pohorju,samostojna,648.3,36510.0,k+p+1,2006,680000.0,zasebna ponudba
6837020,prodaja,hiša,koroska,sele - del,samostojna,396.3,1980.0,,2004,520000.0,zasebna ponudba
6840683,prodaja,hiša,koroska,slovenj gradec,samostojna,210.0,643.0,p+m,2024,250000.0,studio vida d.o.o.
6825136,prodaja,hiša,koroska,slovenj gradec,samostojna,253.8,649.0,,1972,285000.0,"hestija best, borut ošlak s.p."
6812632,prodaja,hiša,koroska,slovenj gradec,samostojna,436.0,4582.0,,1997,550000.0,"hestija best, borut ošlak s.p."
6839295,prodaja,hiša,koroska,slovenj gradec,vrstna,594.0,390.0,,1850,320000.0,"hestija best, borut ošlak s.p."
6837795,prodaja,hiša,koroska,slovenj gradec,samostojna,152.9,392.0,k+p+1,1961,198770.0,zasebna ponudba
6301536,prodaja,hiša,koroska,stari trg,drugo,193.4,611.0,k+p+1,2018,320000.0,elektron nepremičnine vlasta jeromel s.p.
6404361,prodaja,hiša,koroska,stari trg,samostojna,170.0,1270.0,p+m,1900,105000.0,simobilia nepremičnine d.o.o.
6761554,prodaja,hiša,koroska,stražišče,samostojna,280.7,2348.0,p+1+2,1985,295000.0,bremis d.o.o.
6600537,prodaja,hiša,koroska,stražišče,samostojna,236.0,5000.0,p+1+m,1982,200000.0,simobilia nepremičnine d.o.o.
6736161,prodaja,hiša,koroska,sv. trije kralji,samostojna,230.3,247571.0,p+1+m,1975,447000.0,"agencija hiške, erik krautberger s.p."
6812559,prodaja,hiša,koroska,šentilj pod turjakom,samostojna,210.5,170.0,,1900,170000.0,"market center omnis d.o.o., pe nepremičninski center slovenj gradec"
6581371,prodaja,stanovanje,ljubljana mesto,ljubljana,2-sobno,61.6,,1/2,1917,179000.0,abc nepremičnine d.o.o.
6832645,prodaja,stanovanje,ljubljana mesto,ljubljana,3-sobno,102.7,,p,1995,435000.0,"infinis properties, sara ducman s.p."
6842652,prodaja,stanovanje,ljubljana mesto,ljubljana,4-sobno,137.7,,1/1,2024,589000.0,"gb nepremičnine, goran barišić s.p."
6842288,prodaja,stanovanje,ljubljana mesto,ljubljana,4-sobno,209.0,,1/1,2023,595000.0,roni nepremičnine d.o.o.
6842289,prodaja,stanovanje,ljubljana mesto,ljubljana,4-sobno,236.6,148.79,p/1,2023,495000.0,roni nepremičnine d.o.o.
6842653,prodaja,stanovanje,ljubljana mesto,ljubljana,4-sobno,249.0,,p/1,2024,589000.0,"gb nepremičnine, goran barišić s.p."
6748477,prodaja,stanovanje,ljubljana mesto,ljubljana,4-sobno,89.1,,1/2,2024,480000.0,sinep družba za investiranje d.o.o.
6831939,prodaja,stanovanje,ljubljana mesto,ljubljana,3-sobno,86.7,,1/3,2004,428000.0,planetum d.o.o.
6539771,prodaja,stanovanje,ljubljana mesto,ljubljana,garsonjera,14.0,,k/k,1982,56000.0,itd nepremičnine d.o.o.
6845615,prodaja,stanovanje,ljubljana mesto,ljubljana,garsonjera,31.23,,6/10,1983,178000.0,zasebna ponudba
6825081,prodaja,stanovanje,ljubljana mesto,ljubljana,garsonjera,31.3,,3/10,1979,178000.0,kristal nepremičnine d.o.o.
6782638,prodaja,stanovanje,ljubljana mesto,ljubljana,1-sobno,34.0,,4/4,1975,175000.0,ekonep d.o.o.
6827103,prodaja,stanovanje,ljubljana mesto,ljubljana,1-sobno,35.9,,1/4,1972,179500.0,mesto nepremičnin d.o.o.
6819476,prodaja,stanovanje,ljubljana mesto,ljubljana,2-sobno,59.5,,2,1965,265000.0,"infinis properties, sara ducman s.p."
6812725,prodaja,stanovanje,ljubljana mesto,ljubljana,2-sobno,59.5,,2,1965,265000.0,ljubljana nepremičnine d.o.o.
6823239,prodaja,stanovanje,ljubljana mesto,ljubljana,2-sobno,61.6,,1/10,1978,278000.0,mesto nepremičnin d.o.o.
6834997,prodaja,stanovanje,ljubljana mesto,ljubljana,3-sobno,76.6,,5/10,1975,308000.0,mesto nepremičnin d.o.o.
6825202,prodaja,stanovanje,ljubljana mesto,ljubljana,3-sobno,78.8,,10/10,1978,294000.0,mesto nepremičnin d.o.o.
6842322,prodaja,stanovanje,ljubljana mesto,ljubljana,3-sobno,79.3,,4/10,1977,297000.0,"stan nepremičnine d.o.o., ljubljana"
6845393,prodaja,stanovanje,ljubljana mesto,ljubljana,4-sobno,92.0,,10/10,1992,350000.0,zasebna ponudba
6840398,prodaja,stanovanje,ljubljana mesto,ljubljana,4-sobno,224.9,,3/3,2019,1250000.0,nepremičnine plus d.o.o.
6790684,prodaja,stanovanje,ljubljana mesto,ljubljana,3-sobno,79.3,,4/10,1977,297000.0,"mp projekt, d.o.o., pe ljubljana"
6842579,prodaja,stanovanje,ljubljana mesto,ljubljana,2-sobno,59.2,,5/10,1982,282000.0,zasebna ponudba
6842665,prodaja,stanovanje,ljubljana mesto,ljubljana,2-sobno,59.2,,5,1982,282000.0,fesst nepremičnine d.o.o.
6788058,prodaja,stanovanje,ljubljana mesto,ljubljana,3-sobno,79.3,,4/10,1977,320000.0,mondreal d.o.o. 
6821345,prodaja,hiša,ljubljana mesto,ljubljana,vrstna,70.77,175.0,,1972,296000.0,zasebna ponudba
6774328,prodaja,hiša,ljubljana mesto,ljubljana,samostojna,208.0,418.0,p+1+m,1960,680000.0,"sonce skupina d.o.o., pe ljubljana"
6785347,prodaja,hiša,ljubljana mesto,ljubljana,dvojček,209.0,245.0,k+p+1,1955,445000.0,zasebna ponudba
6835687,prodaja,hiša,ljubljana mesto,ljubljana,dvojček,177.6,237.0,,1963,415000.0,"nepremičninska družba, d.o.o., pe re/max premium"
6734834,prodaja,hiša,ljubljana mesto,ljubljana,vrstna,187.0,137.0,k+p+1+m,1962,570000.0,zasebna ponudba
6737718,prodaja,hiša,ljubljana mesto,ljubljana,vrstna,250.0,132.0,,1962,570000.0,"maticco, nepremičnine, matic sonnenwald s.p."
6570883,prodaja,hiša,ljubljana mesto,ljubljana,samostojna,253.9,498.0,k+p+1,1976,790000.0,rojal invest d.o.o.
6788331,prodaja,hiša,ljubljana mesto,ljubljana,dvojček,350.0,757.0,k+p/2,2024,590000.0,kreativdom d.o.o.
6247307,prodaja,hiša,ljubljana mesto,ljubljana,samostojna,369.0,1103.0,k+p+1,1998,1019000.0,"stoja trade, d.o.o., ljubljana"
6831857,prodaja,hiša,ljubljana mesto,ljubljana,samostojna,186.0,565.0,p+1,1989,250000.0,mesto nepremičnin d.o.o.
6846377,prodaja,hiša,ljubljana mesto,ljubljana,samostojna,67.4,390.0,,1990,250000.0,mka nepremičnine d.o.o.
6829756,prodaja,hiša,ljubljana mesto,ljubljana,trojček,120.0,199.0,,2023,319000.0,"central re d.o.o., pe ljubljana"
6821247,prodaja,hiša,ljubljana mesto,ljubljana,samostojna,150.0,710.0,,1984,338000.0,"agenti celje, až&mb nerad d.o.o."
6821250,prodaja,hiša,ljubljana mesto,ljubljana,samostojna,150.0,620.0,,1984,288000.0,"agenti celje, až&mb nerad d.o.o."
6737131,prodaja,hiša,ljubljana mesto,ljubljana,samostojna,187.7,551.0,p+1,2023,405000.0,"ajdovc nepremičnine, petra ajdovec s.p."
6596764,prodaja,hiša,ljubljana mesto,ljubljana,samostojna,262.0,1253.0,k+p+m,1993,750000.0,zasebna ponudba
6793005,prodaja,hiša,ljubljana mesto,ljubljana,dvojček,181.05,290.0,k+p+m,2024,498000.0,mondreal d.o.o. 
6841625,prodaja,hiša,ljubljana mesto,ljubljana,dvojček,181.05,290.0,k+p+m,2024,498000.0,gradina d.o.o.
6764422,prodaja,hiša,ljubljana mesto,ljubljana,samostojna,184.6,668.0,,2013,890000.0,ljubljana nepremičnine d.o.o.
6827444,prodaja,hiša,ljubljana mesto,ljubljana,samostojna,403.0,1558.0,k+p+m,1975,749000.0,"stoja trade, d.o.o., ljubljana"
6826989,prodaja,hiša,ljubljana mesto,ljubljana,samostojna,474.88,870.0,p+1+2,2024,4161000.0,baza agencija d.o.o.
6508306,prodaja,hiša,ljubljana mesto,ljubljana,samostojna,340.0,1316.0,k+p+1,2013,1430000.0,zasebna ponudba
6770270,prodaja,hiša,ljubljana mesto,ljubljana,samostojna,165.7,726.0,,2019,399000.0,agaja nepremičnine d.o.o.
6791420,prodaja,hiša,ljubljana mesto,ljubljana,samostojna,260.0,543.0,p+1,2003,549000.0,doreal d.o.o.
6003703,prodaja,hiša,ljubljana mesto,ljubljana,dvostanovanjska,540.0,981.0,k+p+m,2002,1000000.0,"inf - ing nepremičnine, storitve, d.o.o."
6826287,prodaja,hiša,ljubljana mesto,ljubljana,vrstna,140.0,223.0,k+p+1+m,1988,490000.0,"qudos, center nepremičnin d.o.o."
6825644,prodaja,hiša,ljubljana mesto,ljubljana,vrstna,140.0,233.0,,1988,490000.0,media nepremičnine d.o.o.
6839018,prodaja,hiša,ljubljana mesto,ljubljana,samostojna,315.1,639.0,pk/2,1965,1590000.0,"stoja trade, d.o.o., ljubljana"
6591150,prodaja,hiša,ljubljana mesto,ljubljana,samostojna,258.5,563.0,,1980,580000.0,zasebna ponudba
